Date,Open,High,Low,Close,Volume,Adj Close
2016-01-15,72.00,73.459999,71.910004,73.120003,4842700,71.099019
2016-01-14,73.379997,74.730003,72.68,73.599998,3143800,71.565748
2016-01-13,74.809998,75.480003,73.150002,73.220001,3004300,71.196254
2016-01-12,75.00,75.080002,73.099998,74.519997,2915900,72.460318
2016-01-11,73.889999,74.370003,73.209999,74.150002,3753000,72.10055
2016-01-08,75.360001,75.550003,73.510002,73.760002,3530800,71.72133
2016-01-07,74.389999,76.029999,74.25,74.989998,3720500,72.917329
2016-01-06,75.160004,76.209999,75.019997,75.660004,3157600,73.568816
2016-01-05,75.949997,76.540001,75.019997,76.519997,2578300,74.40504
2016-01-04,75.779999,76.129997,74.639999,76.080002,3586900,73.977206
